Date,nepse open,nepse high,nepse Low,nepse close,nepse volume,Date__1,weekday,weeknum,weeknumber,month,uniquemonth,uniqueweek,close-open,high-low,high-close,close-low
7/20/1997,173.26,173.26,173.26,173.26,0,Sunday,1,30,4,7,1,1,0,0,0,0
7/21/1997,173.25,173.25,173.25,173.25,0,Monday,2,30,4,7,1,1,0,0,0,0
7/22/1997,173.03,173.03,173.03,173.03,0,Tuesday,3,30,4,7,1,1,0,0,0,0
7/23/1997,172.68,173.03,173.03,173.03,0,Wednesday,4,30,4,7,1,1,0.35,0,0,0
7/24/1997,172.66,172.66,172.66,172.66,0,Thursday,5,30,4,7,1,1,0,0,0,0
7/27/1997,173.15,173.15,173.15,173.15,0,Sunday,1,31,5,7,1,2,0,0,0,0
7/29/1997,172.88,172.88,172.88,172.88,0,Tuesday,3,31,5,7,1,2,0,0,0,0
7/30/1997,172.12,172.12,172.12,172.12,0,Wednesday,4,31,5,7,1,2,0,0,0,0
7/31/1997,171.7,171.7,171.7,171.7,0,Thursday,5,31,5,7,1,2,0,0,0,0
8/3/1997,171.52,171.52,171.52,171.52,0,Sunday,1,32,2,8,2,3,0,0,0,0
8/4/1997,171.36,171.36,171.36,171.36,0,Monday,2,32,2,8,2,3,0,0,0,0
8/5/1997,171.16,171.16,171.16,171.16,0,Tuesday,3,32,2,8,2,3,0,0,0,0
8/6/1997,171.1,171.1,171.1,171.1,0,Wednesday,4,32,2,8,2,3,0,0,0,0
8/7/1997,171.24,171.24,171.24,171.24,0,Thursday,5,32,2,8,2,3,0,0,0,0
8/10/1997,170.39,170.39,170.39,170.39,0,Sunday,1,33,3,8,2,4,0,0,0,0
8/11/1997,169.38,169.38,169.38,169.38,0,Monday,2,33,3,8,2,4,0,0,0,0
8/12/1997,169.28,169.28,169.28,169.28,0,Tuesday,3,33,3,8,2,4,0,0,0,0
8/13/1997,169.28,169.28,169.28,169.28,0,Wednesday,4,33,3,8,2,4,0,0,0,0
8/14/1997,169.52,169.52,169.52,169.52,0,Thursday,5,33,3,8,2,4,0,0,0,0
8/17/1997,169.57,169.57,169.57,169.57,0,Sunday,1,34,4,8,2,5,0,0,0,0
8/20/1997,169.76,169.76,169.76,169.76,0,Wednesday,4,34,4,8,2,5,0,0,0,0
8/21/1997,169.57,169.57,169.57,169.57,0,Thursday,5,34,4,8,2,5,0,0,0,0
8/24/1997,169.91,169.91,169.91,169.91,0,Sunday,1,35,5,8,2,6,0,0,0,0
8/26/1997,169.57,169.57,169.57,169.57,0,Tuesday,3,35,5,8,2,6,0,0,0,0
8/27/1997,169.87,169.87,169.87,169.87,0,Wednesday,4,35,5,8,2,6,0,0,0,0
8/28/1997,169.98,169.98,169.98,169.98,0,Thursday,5,35,5,8,2,6,0,0,0,0
8/31/1997,169.64,169.64,169.64,169.64,0,Sunday,1,36,6,8,2,7,0,0,0,0
9/1/1997,170.13,170.13,170.13,170.13,0,Monday,2,36,1,9,3,7,0,0,0,0
9/2/1997,170.2,170.2,170.2,170.2,0,Tuesday,3,36,1,9,3,7,0,0,0,0
9/3/1997,168.74,168.74,168.74,168.74,0,Wednesday,4,36,1,9,3,7,0,0,0,0
9/4/1997,168.63,168.63,168.63,168.63,0,Thursday,5,36,1,9,3,7,0,0,0,0
9/7/1997,168.49,168.49,168.49,168.49,0,Sunday,1,37,2,9,3,8,0,0,0,0
9/8/1997,168.84,168.84,168.84,168.84,0,Monday,2,37,2,9,3,8,0,0,0,0
9/9/1997,169.18,169.18,169.18,169.18,0,Tuesday,3,37,2,9,3,8,0,0,0,0
9/10/1997,169.17,169.17,169.17,169.17,0,Wednesday,4,37,2,9,3,8,0,0,0,0
9/11/1997,169.99,169.99,169.99,169.99,0,Thursday,5,37,2,9,3,8,0,0,0,0
9/14/1997,170.1,170.1,170.1,170.1,0,Sunday,1,38,3,9,3,9,0,0,0,0
9/16/1997,170.45,170.45,170.45,170.45,0,Tuesday,3,38,3,9,3,9,0,0,0,0
9/17/1997,170.6,170.6,170.6,170.6,0,Wednesday,4,38,3,9,3,9,0,0,0,0
9/18/1997,169.67,169.67,169.67,169.67,0,Thursday,5,38,3,9,3,9,0,0,0,0
9/21/1997,170.31,170.31,170.31,170.31,0,Sunday,1,39,4,9,3,10,0,0,0,0
9/22/1997,170.06,170.06,170.06,170.06,0,Monday,2,39,4,9,3,10,0,0,0,0
9/23/1997,170.43,170.43,170.43,170.43,0,Tuesday,3,39,4,9,3,10,0,0,0,0
9/24/1997,169.96,169.96,169.96,169.96,0,Wednesday,4,39,4,9,3,10,0,0,0,0
9/25/1997,169.97,169.97,169.97,169.97,0,Thursday,5,39,4,9,3,10,0,0,0,0
9/28/1997,170.71,170.71,170.71,170.71,0,Sunday,1,40,5,9,3,11,0,0,0,0
9/29/1997,170.64,170.64,170.64,170.64,0,Monday,2,40,5,9,3,11,0,0,0,0
9/30/1997,171.23,171.23,171.23,171.23,0,Tuesday,3,40,5,9,3,11,0,0,0,0
10/1/1997,170.2,170.2,170.2,170.2,0,Wednesday,4,40,1,10,4,11,0,0,0,0
10/5/1997,169.8,169.8,169.8,169.8,0,Sunday,1,41,2,10,4,12,0,0,0,0
10/6/1997,169.7,169.7,169.7,169.7,0,Monday,2,41,2,10,4,12,0,0,0,0
10/7/1997,169.68,169.68,169.68,169.68,0,Tuesday,3,41,2,10,4,12,0,0,0,0
10/16/1997,169.43,169.43,169.43,169.43,0,Thursday,5,42,3,10,4,13,0,0,0,0
10/19/1997,169.51,169.51,169.51,169.51,0,Sunday,1,43,4,10,4,14,0,0,0,0
10/20/1997,169.55,169.55,169.55,169.55,0,Monday,2,43,4,10,4,14,0,0,0,0
10/21/1997,169.29,169.29,169.29,169.29,0,Tuesday,3,43,4,10,4,14,0,0,0,0
10/22/1997,170.33,170.33,170.33,170.33,0,Wednesday,4,43,4,10,4,14,0,0,0,0
10/23/1997,171.04,171.04,171.04,171.04,0,Thursday,5,43,4,10,4,14,0,0,0,0
10/26/1997,170.61,170.61,170.61,170.61,0,Sunday,1,44,5,10,4,15,0,0,0,0
10/27/1997,172.96,172.96,172.96,172.96,0,Monday,2,44,5,10,4,15,0,0,0,0
10/28/1997,172,172,172,172,0,Tuesday,3,44,5,10,4,15,0,0,0,0
10/29/1997,173.43,173.43,173.43,173.43,0,Wednesday,4,44,5,10,4,15,0,0,0,0
11/3/1997,173.44,173.44,173.44,173.44,0,Monday,2,45,2,11,5,16,0,0,0,0
11/4/1997,172.68,172.68,172.68,172.68,0,Tuesday,3,45,2,11,5,16,0,0,0,0
11/5/1997,173.03,173.03,173.03,173.03,0,Wednesday,4,45,2,11,5,16,0,0,0,0
11/6/1997,172.07,172.07,172.07,172.07,0,Thursday,5,45,2,11,5,16,0,0,0,0
11/9/1997,173.02,173.02,173.02,173.02,0,Sunday,1,46,3,11,5,17,0,0,0,0
11/10/1997,172.46,172.46,172.46,172.46,0,Monday,2,46,3,11,5,17,0,0,0,0
11/11/1997,172.08,172.08,172.08,172.08,0,Tuesday,3,46,3,11,5,17,0,0,0,0
11/12/1997,171.96,171.96,171.96,171.96,0,Wednesday,4,46,3,11,5,17,0,0,0,0
11/13/1997,172.02,172.02,172.02,172.02,0,Thursday,5,46,3,11,5,17,0,0,0,0
11/16/1997,172.02,172.02,172.02,172.02,0,Sunday,1,47,4,11,5,18,0,0,0,0
11/17/1997,172.8,172.8,172.8,172.8,0,Monday,2,47,4,11,5,18,0,0,0,0
11/18/1997,172.68,172.68,172.68,172.68,0,Tuesday,3,47,4,11,5,18,0,0,0,0
11/19/1997,172.35,172.35,172.35,172.35,0,Wednesday,4,47,4,11,5,18,0,0,0,0
11/20/1997,173.01,173.01,173.01,173.01,0,Thursday,5,47,4,11,5,18,0,0,0,0
11/23/1997,173.28,173.28,173.28,173.28,0,Sunday,1,48,5,11,5,19,0,0,0,0
11/24/1997,173.1,173.1,173.1,173.1,0,Monday,2,48,5,11,5,19,0,0,0,0
